Skill,Description
Microsoft Excel,Hiya programme tsta3mlou bash t3mel tableaux, t7seb l-7ajat, w tnadhem l-m3lomat b-tari9a sahla w nadhifa. Tnjem t3mel graphiques w tla9i l-m3ani fi l-data. Y3awn fi l-entreprises, l-7isabat, w l-5idma l-yawmiya bash kol chay ykoun mnadhem.
Problem Solving,Hiya l-fen ta3 tla9i l-7aloul l-mochkil b-tari9a chwaya w mnadhma fi l-5idma w l-7ayat l-koll. Tnjem t5ammem w t3arf l-7ajat l-mouhima bash t7el. Y3awn fi l-entreprises, l-projets, w l-5idma l-yawmiya bash l-koll yemchi m3ak.
Statistical Programming,Hiya l-programmation lli tsta3mlha bash t3mel 7isabat w analyse ta3 l-m3lomat b-tari9a mnadhma w nadhifa. Tnjem tsta3mel R w Python bash tfasser l-data. Y3awn fi l-3elm, l-entreprises, w l-5idma lli y7taj l-7isabat w l-analyse kol yom.
Tableau Software,Hiya programme tsta3mlou bash t7ot l-data fi swar w graphiques yfissrou l-m3lomat b-tari9a sahla w nadhifa. Tnjem tla9i l-m3ani fi l-data w t3awn l-nas. Y3awn fi l-entreprises w l-presentations bash l-data tkoun claire w moufida kol yom.
Collaboration,Hiya l-7aja lli t5allik t5dem m3a l-nas b-tari9a mnadhma w t3awnou ba3dhkom bash l-5idma ttzid. Tnjem t7ot l-fikret w t5ammem m3a l-equipe. Y3awn fi l-entreprises w l-projets l-kbira bash l-koll yemchi m3a ba3dhom w l-5idma tji nadhifa.
Agile Software Development,Hiya tari9a t5dem biha fi l-programmation, t9assem l-5idma l-9sira w t5dem b-sor3a m3a l-equipe. Tnjem tla9i l-7aloul w t3addi l-programme b-sahla. Y3awn fi l-entreprises w l-projets lli y7taju l-programmes yjiw b-sor3a w b-tari9a mnadhma.
Software Engineering,Hiya l-fen ta3 t5ammem fi l-branemj w t7otha b-tari9a mnadhma w sahla l-ist3mal fi l-ordinateur. Tnjem tsta3mel langages kif Java w Python bash t3mel programmes. Y3awn fi l-entreprises, l-applications, w l-7ajat lli y7taju l-code kol yom.
Entrepreneurship,Hiya l-capacite ta3ek bash t7ot fikra w t5ammem fiha w t5alliha projet y5addem w ynajja7. Tnjem t3arf l-su9 w tla9i l-7aloul l-mochkil. Y3awn fi l-entreprises jdida w l-projets lli y7taju l-fikret l-mou5tlifa w l-5idma l-9wiya.
Scrum (Software Development),Hiya tari9a fi l-5idma ta3 l-programmation, t9assem l-5idma w t5dem m3a equipe b-sor3a w b-tari9a mnadhma. Tnjem t7ot khattat w tla9i l-7aloul b-sahla. Y3awn fi l-entreprises w l-projets lli y7taju l-programmes yjiw b-sor3a w ma famech erreurs.
Planning,Hiya l-fen ta3 t7ot khattat w tnadhem l-wa9t bash kol chay yemchi m3ak fi l-5idma w l-projets. Tnjem t3arf l-7ajat l-mouhima w t9assem l-5idma. Y3awn fi l-entreprises, l-5idma l-yawmiya, w l-projets l-kbira bash l-koll ykoun mnadhem.
Change Management,Hiya l-tari9a bash t3alj l-taghayyurat fi l-5idma w t5alli l-koll yemchi m3ahom b-tari9a mnadhma w sahla. Tnjem t3awn l-equipe w tla9i l-7aloul l-mochkil. Y3awn fi l-entreprises w l-projets lli y7taju l-taghayyurat w l-5idma l-jdida kol yom.
Finance,Hiya l-3elm ta3 l-felous, kifach tnadhemhom w tsta3mlhom b-tari9a mnadhma bash l-entreprise ttzid w tnajja7. Tnjem t3arf l-budget w tla9i l-7aloul l-mochkil. Y3awn fi l-entreprises, l-banques, w l-projets lli y7taju l-7isabat w l-5idma l-9wiya.
Organizational Development,Hiya l-fen ta3 t5alli l-entreprise mt3ek ttzid l-9wiya w t5dem a7san b-tari9a mnadhma w nadhifa. Tnjem t3awn l-equipe w t7ot khattat l-taghayyurat. Y3awn fi l-entreprises w l-5idma l-kbira bash l-koll yemchi m3a ba3dhom w l-5idma ttzid.
Product Management,Hiya l-tari9a bash tnadhem produit w t7awel t5allih ynajja7 fi l-su9 b-tari9a mnadhma w nadhifa. Tnjem t3arf l-7ajat ta3 l-nas w t7ot khattat. Y3awn fi l-entreprises w l-projets lli y7taju l-produits jdida w l-5idma l-9wiya kol yom.
Budget Management,Hiya l-fen ta3 tnadhem l-felous mt3ek w tchouf kifach tsta3mlhom b-a7san tari9a fi l-5idma w l-projets. Tnjem t7ot khattat w t3arf l-priorites. Y3awn fi l-entreprises, l-5idma l-yawmiya, w l-projets lli y7taju l-7isabat w l-5idma l-9wiya.
Influencing,Hiya l-capacite ta3ek bash t7awel l-nas yfahmou l-fikra mt3ek w yemchiw m3ak b-tari9a mnadhma w sahla. Tnjem t7ki b-sahla w t3awn l-equipe. Y3awn fi l-entreprises w l-5idma l-kbira bash l-fikret twalli claire w l-koll yemchi m3ak.
Culture,Hiya l-7aja lli t5alli l-5idma fi l-entreprise tkoun fer7ana w l-nas yemchiw m3a ba3dhom b-tari9a mnadhma. Tnjem t3awn l-equipe w t7ot l-fikret l-9wiya. Y3awn fi l-entreprises w l-5idma l-kbira bash l-koll ykoun fer7an w l-5idma ttzid.
Emotional Intelligence,Hiya l-fen ta3 tfahhem l-nas w t7ess beli 7asou bih bash t5dem m3ahom a7san fi l-5idma. Tnjem t3arf l-7ajat ta3 l-equipe w t3awnha. Y3awn fi l-entreprises w l-5idma l-kbira bash l-koll yemchi m3a ba3dhom w l-5idma tji nadhifa.
People Management,Hiya l-tari9a bash tnadhem l-nas lli y5admou m3ak w t5allihom yabdew l-a7san fi l-5idma l-kbira. Tnjem t3awn l-equipe w t7ot khattat l-5idma. Y3awn fi l-entreprises w l-projets lli y7taju l-equipe tkoun mnadhma w productive kol yom.
Procurement,Hiya l-fen ta3 tshri l-7ajat lli t7otthom l-entreprise mt3ek b-a7san soum w b-tari9a mnadhma w nadhifa. Tnjem t3arf l-su9 w tla9i l-a7san fournisseurs. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7ajat yjiw fi l-wa9t w l-budget.
Marketing,Hiya l-fen ta3 t3arraf 3al produit mt3ek w t5alli l-nas y7ebbouh w yshriwh b-tari9a mnadhma w nadhifa. Tnjem tsta3mel l-social media w l-SEO bash tla9i l-nas. Y3awn fi l-entreprises w l-5idma l-kbira bash l-produit ynajja7 w l-bea3 yzid.
Marketing Management,Hiya l-tari9a bash tnadhem l-marketing mt3ek w t7ot khattat bash tbi3 l-produit b-tari9a mnadhma w nadhifa. Tnjem t3arf l-su9 w tla9i l-a7san tari9a. Y3awn fi l-entreprises w l-5idma l-kbira bash l-produit ynajja7 w l-bea3 yzid kol yom.
Media Strategy & Planning,Hiya l-fen ta3 t7ot khattat kifach t3arraf 3al produit mt3ek fi l-media b-tari9a mnadhma w nadhifa. Tnjem tsta3mel l-TV w l-social media bash tla9i l-nas. Y3awn fi l-entreprises w l-5idma l-kbira bash l-produit ynajja7 w l-bea3 yzid.
Sales,Hiya l-fen ta3 tbi3 l-produit mt3ek w t7awel l-nas yshriwh b-tari9a mnadhma w nadhifa fi l-su9. Tnjem t3arf l-7ajat ta3 l-nas w t3awnha t5ayyer. Y3awn fi l-entreprises w l-5idma l-kbira bash l-bea3 yzid w l-produit ynajja7 kol yom.
E-Commerce,Hiya l-tari9a bash tbi3 l-produit mt3ek 3al internet b-tari9a mnadhma w nadhifa fi l-su9 l-ra9mi. Tnjem tsta3mel sites kif Amazon w t3arf l-nas. Y3awn fi l-entreprises w l-5idma l-kbira bash l-bea3 yzid w l-produit ynajja7 3al internet.
Social Media,Hiya l-7aja lli tsta3mlha bash t3arraf 3al produit mt3ek fi Facebook, Instagram, w l-7ajat l-koll b-sahla. Tnjem t7ot posts w tla9i l-nas lli y7ebbou l-produit. Y3awn fi l-entreprises w l-5idma l-kbira bash l-bea3 yzid w l-marque tnajja7.
Search Engine Optimization,Hiya l-fen ta3 t5alli l-site mt3ek ytl3 l-oula ki l-nas y7ottou fi Google b-tari9a mnadhma. Tnjem tsta3mel l-kalimat l-mouhima w t3arf l-su9. Y3awn fi l-entreprises w l-5idma l-kbira bash l-nas yla9ou l-site w l-bea3 yzid.
Advertising,Hiya l-fen ta3 t3arraf 3al produit mt3ek b-tari9a t5alli l-nas yshriwh fi l-media w l-internet. Tnjem tsta3mel l-social media w l-TV bash tla9i l-nas. Y3awn fi l-entreprises w l-5idma l-kbira bash l-produit ynajja7 w l-bea3 yzid kol yom.
Persona Research,Hiya l-7aja lli tchouf fiha l-nas lli ynajmou yshriw l-produit mt3ek w t3arraf 3lihom b-tfassil. Tnjem t3arf l-7ajat ta3hom w t7ot khattat l-marketing. Y3awn fi l-entreprises w l-5idma l-kbira bash l-produit yla9i l-nas l-mou7a99a9in.
Strategy,Hiya l-fen ta3 t7ot khattat t5allik twalli l-a7san fi l-5idma mt3ek b-tari9a mnadhma w nadhifa kol yom. Tnjem t3arf l-su9 w tla9i l-7aloul l-mochkil. Y3awn fi l-entreprises w l-projets l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Web Design,Hiya l-fen ta3 t5ammem fi l-site mt3ek w t5allih yabda nadhif w sahla l-ist3mal b-tari9a mnadhma. Tnjem tsta3mel l-couleurs w l-swar bash t3awn l-nas. Y3awn fi l-entreprises w l-5idma l-kbira bash l-site ykoun fer7an w l-nas y7ebbouh.
Web Development,Hiya l-fen ta3 t3mel l-site mt3ek w t5allih y5dem b-tari9a mnadhma w nadhifa 3al internet kol yom. Tnjem tsta3mel HTML, CSS, w Javascript bash t3mel sites. Y3awn fi l-entreprises w l-5idma l-kbira bash l-site ykoun sari3 w moufida.
Web Development Tools,Hiya l-7ajat lli tsta3mlhom bash t3mel site 3al internet b-sahla w b-tari9a mnadhma w nadhifa. Tnjem tsta3mel outils kif VS Code w Git bash t3awn l-equipe. Y3awn fi l-entreprises w l-5idma l-kbira bash l-site yji sari3 w nadhif.
Writing,Hiya l-fen ta3 l-katba, kifach t5ammem fi l-kalimat w t5alli l-nas yfahmou fikrtk b-tari9a sahla w nadhifa. Tnjem tsta3mel l-kalima bash t3arraf 3al produit wla t7ki 7kaya. Y3awn fi l-entreprises, l-marketing, w l-5idma l-yawmiya bash l-fikret twalli claire.
Market Analysis,Hiya l-7aja lli tchouf fiha l-su9 w t3arraf chnouwa l-nas y7ebbou w yshriwh b-tari9a mnadhma w nadhifa. Tnjem tsta3mel l-data bash t3arf l-7ajat ta3 l-nas. Y3awn fi l-entreprises w l-5idma l-kbira bash l-produit ynajja7 w l-bea3 yzid.
Data Mining,Hiya l-fen ta3 tla9i l-m3lomat l-mouhima fi l-data l-kbira barcha b-tari9a mnadhma w nadhifa kol yom. Tnjem tsta3mel outils kif Python w R bash tfasser l-data. Y3awn fi l-entreprises w l-3elm bash tla9i l-m3ani l-mouhima w t5ayyer l-a7san.
Database Design,Hiya l-tari9a bash t7ot l-databases mt3ek b-chakl mnadhem w sahla l-ist3mal fi l-ordinateur kol yom. Tnjem t3arf l-7ajat ta3 l-data w tnadhmha b-sahla. Y3awn fi l-entreprises, l-applications, w l-5idma lli y7taj l-data bash y5admou nadhif.
Exploratory Data Analysis,Hiya l-7aja lli tchouf fiha l-data b-tfassil bash tla9i l-7ajat l-mouch 3adiyin w t3arf l-m3ani kol yom. Tnjem tsta3mel Python w R bash tfasser l-data b-sahla. Y3awn fi l-3elm w l-entreprises bash tla9i l-m3lomat l-mouhima fi l-data.
Plot (Graphics),Hiya l-fen ta3 t7ot l-m3lomat fi swar w graphiques bash ykounou sahla l-fham fi l-5idma w l-presentations. Tnjem tsta3mel outils kif Tableau w Excel bash t3awn l-nas. Y3awn fi l-entreprises w l-3elm bash l-data tkoun nadhifa w claire kol yom.
Applied Machine Learning,Hiya l-tari9a bash tsta3mel l-machine learning fi l-7ajat l-7a9i9iya b-tari9a mnadhma w nadhifa kol yom. Tnjem t3mel programmes yla9ou l-m3ani fi l-data b-sahla. Y3awn fi l-entreprises, l-3elm, w l-projets lli y7taju l-analyse l-kbira w l-7isabat.
Customer Analysis,Hiya l-7aja lli tchouf fiha l-nas lli yshriw l-produit mt3ek w t3arraf 3lihom b-tfassil b-tari9a mnadhma. Tnjem t3arf l-7ajat ta3hom w t7ot khattat l-marketing. Y3awn fi l-entreprises w l-5idma l-kbira bash l-produit yla9i l-nas l-mou7a99a9in.
Data Model,Hiya l-tari9a bash tnadhem l-data mt3ek fi chakl mnadhem w sahla l-fham fi l-databases w l-applications. Tnjem t3arf l-3ala9at bin l-m3lomat w t7othom b-sahla. Y3awn fi l-entreprises w l-5idma lli y7taj l-data bash y5admou b-tari9a nadhifa kol yom.
Database Application,Hiya l-branemj lli tsta3mlou bash t3adi l-m3lomat fi l-databases b-tari9a sahla w mnadhma fi l-ordinateur. Tnjem tla9i l-data w t3addiha ki t7taj b-sor3a. Y3awn fi l-entreprises w l-applications lli y7taju l-data bash y5admou b-tari9a nadhifa.
Database Theory,Hiya l-3elm ta3 l-databases, kifach y5admou w kifach tnadhmhom b-tari9a mnadhma w nadhifa fi l-ordinateur. Tnjem t3arf l-7ajat l-mouhima w t7ot l-khattat l-databases. Y3awn fi l-entreprises w l-5idma lli y7taj l-data bash y5admou b-tari9a sahla.
Deep Learning,Hiya l-fen ta3 t5alli l-ordinateur yt3allem b-tari9a kbira w yla9i l-7ajat wahdou fi l-data l-kbira. Tnjem tsta3mel outils kif TensorFlow bash t3mel programmes. Y3awn fi l-3elm, l-entreprises, w l-7ajat lli y7taju l-analyse l-kbira w l-7isabat.
Probability & Statistics,Hiya l-3elm ta3 l-i7timelat w l-7isabat lli y3awnek tfasser l-m3lomat w tla9i l-m3ani fiha b-sahla. Tnjem t3arf l-moyenne w l-i7timelat w barcha 7ajat. Y3awn fi l-entreprises, l-3elm, w l-5idma lli y7taj l-7isabat w l-analyse kol yom.
Regression,Hiya l-tari9a bash tla9i l-3ala9a bin l-7ajat fi l-data w t7awel tfasserha b-tari9a mnadhma w nadhifa. Tnjem tsta3mel l-7isabat bash t3arf l-m3ani fi l-data. Y3awn fi l-3elm, l-entreprises, w l-5idma lli y7taj l-analyse w l-7isabat kol yom.
Reinforcement Learning,Hiya l-fen ta3 t5alli l-ordinateur yt3allem men l-t3lim lli yjri wahdou b-tari9a mnadhma w nadhifa. Tnjem tsta3melha bash t3mel programmes yla9ou l-7aloul. Y3awn fi l-3elm, l-entreprises, w l-7ajat lli y7taju l-analyse l-kbira w l-7isabat.
IBM Cloud,Hiya platform tsta3mlha bash tstocki l-data w t7ot l-branemj 3al internet b-tari9a mnadhma w nadhifa. Tnjem t5dem men ay blasa w t7afedh 3al m3lomat. Y3awn fi l-entreprises w l-5idma l-kbira bash l-data tkoun sura w l-5idma ttzid.
Statistical Visualization,Hiya l-fen ta3 t7ot l-7isabat fi swar w graphiques bash ykounou sahla l-fham fi l-5idma w l-presentations. Tnjem tsta3mel outils kif Tableau w Power BI. Y3awn fi l-entreprises w l-3elm bash l-data tkoun nadhifa w claire kol yom.
Computational Thinking,Hiya l-tari9a bash t7awel l-mochkil l-kbira t9assmha l-9sira w t7elha b-tari9a mnadhma w nadhifa. Tnjem t3arf l-7ajat l-mouhima w tla9i l-7aloul. Y3awn fi l-entreprises, l-3elm, w l-5idma lli y7taj l-5idma l-ra9miya w l-7isabat kol yom.
Statistical Machine Learning,Hiya l-fen ta3 tsta3mel l-7isabat bash t5alli l-ordinateur yt3allem men l-data b-tari9a mnadhma w nadhifa. Tnjem tsta3mel Python w R bash tfasser l-data. Y3awn fi l-3elm, l-entreprises, w l-5idma lli y7taj l-analyse w l-7isabat kol yom.
Machine Learning Algorithms,Hiya l-khattat lli ysta3mlhom l-machine learning bash yla9i l-7ajat fi l-data b-tari9a mnadhma w nadhifa. Tnjem t3arf l-3ala9at w tla9i l-m3ani b-sahla. Y3awn fi l-3elm, l-entreprises, w l-5idma lli y7taj l-analyse l-kbira w l-7isabat.
Decision Making,Hiya l-fen ta3 t5ayyer l-a7san 7aja fi l-wa9t l-mou7a99a9 b-tari9a mnadhma w nadhifa fi l-5idma. Tnjem t3arf l-7ajat w tla9i l-7aloul l-mou7a99a9. Y3awn fi l-entreprises, l-projets, w l-5idma l-yawmiya bash l-koll yemchi m3ak w l-najja7 ykoun akbar.
Human Learning,Hiya l-tari9a bash l-nas yt3allmou w yfahmou l-7ajat b-sahla fi l-5idma w l-7ayat l-koll kol yom. Tnjem t3awn l-equipe w t7ot khattat l-t3lim. Y3awn fi l-entreprises w l-5idma l-kbira bash l-nas ywalliw a7san w l-5idma ttzid.
User Experience,Hiya l-fen ta3 t5alli l-nas ysta3mlou l-produit mt3ek b-sahla w fer7ana b-tari9a mnadhma w nadhifa. Tnjem t3arf l-7ajat ta3 l-nas w t7ot l-fikret. Y3awn fi l-entreprises w l-5idma l-kbira bash l-produit ykoun sahla l-ist3mal w l-nas y7ebbouh.
User Experience Design,Hiya l-fen ta3 t5ammem fi l-produit mt3ek bash ykoun sahla l-ist3mal w fer7ana b-tari9a mnadhma. Tnjem t3arf l-7ajat ta3 l-nas w t7ot l-swar l-nadhifa. Y3awn fi l-entreprises w l-5idma l-kbira bash l-produit ykoun moufida w l-nas y7ebbouh.
User Research,Hiya l-7aja lli tchouf fiha l-nas chnouwa y7ebbou fi l-produit mt3ek w t3arraf 3lihom b-tfassil. Tnjem t3arf l-7ajat ta3hom w t7ot khattat l-produit. Y3awn fi l-entreprises w l-5idma l-kbira bash l-produit yla9i l-nas l-mou7a99a9in kol yom.
Product Design,Hiya l-fen ta3 t5ammem fi l-produit mt3ek w t5allih nadhif w moufida b-tari9a mnadhma w sahla l-ist3mal. Tnjem t3arf l-7ajat ta3 l-nas w t7ot l-fikret l-nadhifa. Y3awn fi l-entreprises w l-5idma l-kbira bash l-produit ykoun fer7an w l-nas y7ebbouh.
Product Development,Hiya l-tari9a bash t7ot l-produit mt3ek men l-fikra l-wat3 l-su9 b-tari9a mnadhma w nadhifa kol yom. Tnjem t3arf l-7ajat ta3 l-nas w t7ot khattat l-produit. Y3awn fi l-entreprises w l-5idma l-kbira bash l-produit ynajja7 w l-bea3 yzid.
DevOps,Hiya l-tari9a bash t5dem m3a l-equipe ta3 l-programmation w t5alli l-branemj yjiw b-sor3a w b-tari9a mnadhma. Tnjem tsta3mel outils kif Docker w Kubernetes bash t3awn l-equipe. Y3awn fi l-entreprises w l-5idma l-kbira bash l-programmes yjiw nadhif w sari3.
Software Architecture,Hiya l-fen ta3 t7ot khattat l-branemj bash ykoun mnadhem w sahla l-ist3mal fi l-ordinateur kol yom. Tnjem t3arf l-7ajat ta3 l-programme w tnadhmha b-sahla. Y3awn fi l-entreprises w l-5idma l-kbira bash l-programmes ykounou solides w nadhif.
Cloud Applications,Hiya l-branemj lli y5admou 3al internet, ma t7otsh kol chay 3al ordinateur mt3ek b-tari9a mnadhma. Tnjem tsta3mel l-cloud bash t5dem men ay blasa. Y3awn fi l-entreprises w l-5idma l-kbira bash l-programmes ykounou sari3 w moufida kol yom.
Continuous Delivery,Hiya l-tari9a bash t5alli l-branemj yjiw jdod b-sor3a w ma famech erreurs fi l-5idma l-kbira. Tnjem tsta3mel outils kif Jenkins bash t3awn l-equipe. Y3awn fi l-entreprises w l-5idma l-kbira bash l-programmes yjiw sari3 w nadhif kol yom.
